,User Name,Review Title,Review Text,Star,Review posted time
0,Sock My World,READ THIS BEFORE ANY OTHER REVIEW,"  I also had an issue with the mount and spent an hr trying to secure it on with no luck. I am tech savvy so this thing shouldn't be as hard as it is to simply mount the doorbell to the mount. I just put my return in and was just frustrated all around. To get a new one would take almost a week. I decided to take a breath and a dab. I sat down and closely looked at the backing and the mount. YOU HAVE TO put alot of effort into sliding the mount on. Once you closely look at how the inserts go in line it up and push REALLY HARD sliding the doorbell down. It will slide and lock into place. It shouldn't be this hard to put on and I can see why people are leaving poor reviews. Trust me on this though and don't give up!UPDATE: day 2 and so far so good. I've realized the reason for it being so hard to put the mount on, its to make it VERY sturdy when the doorbell is attached. I've read a review talking about this being easy to steal and I would have to disagree. The door bell isn't going anywhere unless someone takes a hammer to it. The picture quality is really good, the picture I uploaded to this review doesn't compare to the live feed view on my iPhone. This doorbell comes with an ""armed"" and ""disarmed"" mode so when you're not wanting 100 notifications because of birds flying by your doorbell you can disarm and when you leave the house or go to sleep you can arm, I found this convenient.UPDATE#2: Its been over a month now and no problems whatsoever! I went out and bought a 128GB flash drive to put into the module and now my recordings are being saved straight to that. This makes life a lot easier when accessing stored clips and transferring that data to a PC. The doorbell is still nice and tight and working like a charm. For the price you cant really go wrong with this doorbell combo. I suggest purchasing the combo and not the stand alone doorbell itself unless you already have a module in your home.",4.0 out of 5 stars,"Reviewed in the United States on October 23, 2021"
1,Sock My World,Well worth the cost & perfect add on for existing Blink customers,"                    The media could not be loaded.
                




   If you are like me you are a happy existing Blink Camera user who is thinking about adding the door bell to your existing setup. I had a blink camera setup aiming at my front door so at first I was not too sure that I really needed the door bell.  However for the cost I am very glad I got one.  There are a couple of things to know:(1) If you are an existing Blink customer, you do not need a second sync module.  All you need is the door bell and you can simple add it to your existing account (as easy as adding an additional camera).(2) If you are planning on hardwiring the blink doorbell to your existing doorbells wires. . . . you still have to use 2 AA batteries to power the camera.  This did not make sense to me as I figured my hardwires would power it, but sure enough after calling Blink support I realized I needed to put the AA batteries in the camera.  The hard wire will allow your blink doorbell to ring the doorbell in your home but will not power the camera.(3) You can turn on motion detection or just have the blink door bell turn on when the door bell is rung.  This is a nice feature.  If you want to catch anyone that comes to your door (whether they ring the bell or not, you can simple turn this feature on in the app).  If you want to save battery life and are only interested in door bell ringers you can turn motion detection off.(4) It has two way audio, meaning you will always hear the person at your door. . . . but you can also choose to speak to the person if you choose.  For me the audio the person at the door hears comes across a little staticky, but that could be my phone or the fact that I am using the corner mount.(5) It has more of a fish bowl view so it catches a wide view (meaning it can cover most of your front porch)(6) There is no additional cost to having the Blink doorbell or camera system.  Unlike other door bell systems out there, there is no additional cost to the Blink Doorbell.  The app is free, cloud storage is free, downloading images or videos is free, etc.If you are looking to set it up with just batteries and no wiring to an existing doorbell system, setup is a breeze (will take two minutes).  If you are looking to hard wire it, it is still pretty easy.  I am not a handy man and what I know about electricity will shock you (get my joke) but even I was able to hard wire it.  Get the doorbell, you will be glad you did.  Hope this review helped.",5.0 out of 5 stars,"Reviewed in the United States on November 4, 2021"
2,Whose That Guy,"Potential to be great, but not yet.","  A few years ago I was excited to see that BLINK had a doorbell announced at CES so I committed to a multi-camera setup. After it became apparent it wasn't being released, I purchased a RING doorbell and subscription plan begrudgingly. The minute I saw the pre-order for this, I instantly grabbed one. Excited to have everything in one ecosystem, the anticipating and re-excitement from years ago was there. During the waiting period I realized someone pointed out, which at the time was NOT listed on the pre-order page, that you need a Sync-2 module to save the footage/rings. I had a spare but it could have been annoying. Fast forward to today when I received it. It looks beautiful and is a slim profile but the mounting bracket is an absolute joke. 2 shallow screws and no thumbail screw to lock the device in, this could easily be ripped out of the wall within 2 seconds. Combine that with the amount of pressure needed to lock this device into place, theres no doubt in my mind that after a year of changing the batteries some of these small clip/brackets on the plate will indeed snap. The image quality is way too HDR and totally blown out by the sun and bright daylight in the sky, creating a darkness on the face of whoever rings the bell which surprise, kind of defeats the purpose. Lastly, the fact that Amazon did NOT have the mount was the cherry on top. The email they sent later allowed us to order the corner mount free of charge, but inside the blink app it states that it should come with a couple different mounting plate options which it did not. So all in all, I prefer the Blink ecosystem to most and physically this doorbell is great but for something in R&D for 3+ years you definitely dropped the ball on the easiest pieces of the puzzle, especially for a company that owns RING which has an excellent mounting package in the box.",2.0 out of 5 stars,"Reviewed in the United States on October 23, 2021"
3,Whose That Guy,Not sure why all the negative reviews,"  I got this and just mounted it. I will say that the instructions are not very detailed but being tech oriented I was able to figure everything out. I added the blink app and connected the sync 2 module up using the app instructions which were fine. I did buy a 256gb usb for internal storage which was detected in the app. Once the sync module was up I added the batteries to the camera but left the back off. In the app you add the device as a doorbell and follow the setup. Once done I took the back outside and started to mount it. Prior to mounting you have to leave a small space on the side so you can put the cover on. In my case I left a little on the left. Mine is mounted on the trim which is on a corner so I did use 2” screws with the same thickness as the ones provided and also took a little clear weather caulk to give it as seal. Don’t cover the contacts on the back. The longer screws hopefully with deter someone from stealing it but my neighbors has been up for months. These screws were long enough to get to the wood door frame. I did change the 10sec delay to 15 so less pics are taken as we are coming and going. Quality looked good on a cloudy day so I’ll have to see how night is as well. So far I like it. We shall see how the battery does. I’m adding the fact that once the 30 day trial ended my local storage took over; however, not having the sub takes away the ability to delete more than one at a time. That’s ridiculous",4.0 out of 5 stars,"Reviewed in the United States on October 24, 2021"
4,themike,Impressive little doorbell,"  There’s a few more steps to set up, and requires a blink sync for completely wireless use. Camera quality is there, wish the box came with double stick tape, but I managed. To set up the chiming on an Alexa you’d have to have the skill installed once it’s installed it recognizes the doorbell. For the price features and true wirelessness! I recommend!",5.0 out of 5 stars,"Reviewed in the United States on October 23, 2021"
5,dschott,Works well!,  I got this doorbell because it’s cheaper than the Ring one. It was easy to set up. Two screws into the door frame and I was able to slide it on. The camera works well and I was able to link it to all my Alexa stuff. I did the no wire worked and it works well!,5.0 out of 5 stars,"Reviewed in the United States on October 24, 2021"
6,TechJunkie,Impossible to mount.,"  This product is structurally defective, don't even attempt buying this, all you are getting is a poor quality camera that cannot be mounted on any surface, if you want to buy a camera that can't be mounted anywhere without the use of duct tape this will surely be that.",1.0 out of 5 stars,"Reviewed in the United States on October 23, 2021"
7,Madora,Needs a Better Security Mount,"  I just installed this and it seems to be working fine so far, not more than an hour on it so far. I got the sync module to work fine and it is all hooked up. The door security mount is terrible, it would take someone no time at all to steal it, the set screw that you had on the other model seemed like a better option. But this thing is just out there for the taking, also the 6 retainers that are on this take a bit of time to figure out that you have to push down with enough pressure for them to set and hold. Do you have a recommendation for a better security mount since this one is really bad.",3.0 out of 5 stars,"Reviewed in the United States on October 23, 2021"
8,Favio Hernandez,Design defect must be fixed before putting your orders in,"                    The media could not be loaded.
                




   In my opinion this is a good product but reason for 1 star is because of the simple design defect and waiting about 1 month for the release of this product. I love blink products but this is something that must be addressed because I see I’m not the only one having this issue. The waterproof seal is a defect either it’s to thick or the seal is to hard and won’t compress enough to allow you to put the back end onto product. Sadly that’s the only fix or blink sends a new seal. In my opinion it’s such a simple defect hopefully someone from blink sees my review and try’s to correct this some how. I’m a tech enthusiast and love all of blinks products but just hate to see the product fail because of a simple flaw after it took a while to test this for consumers. Will later change it until there’s a update in design and there is a fix for this",1.0 out of 5 stars,"Reviewed in the United States on November 15, 2021"
9,DrJohnSpeaks,Not recommended.,"                    The media could not be loaded.
                




   I've been a Blink customer since the beginning. I have every iteration of their products and was excited to see them offer a doorbell. That excitement wore off quickly after I installed their doorbell and soon turned to disappointment. Here are my issues with the doorbell:1. Short battery life. Even though it's connected to my 24VAC doorbell transformer, it still runs on battery power. I have burned through the first set of lithium AA's in less than 3 weeks of use.2. I had to purchase their angled mount ($8) separately because my doorbell button is low and the doorbell camera was cutting off the heads of tall people.3. Notifications. This is my biggest beef. Right now, if someone rings the bell, you get a  standard notification on your phone. You can also set your Alexa devices to make a voice announcement that the doorbell was rung. That's it. You don't get automatic  live video of the doorbell camera on the app or Echo Shows, Spots etc. You don't know who's there. I suspect this is a hardware limitation of the Blink system. When a Blink camera is recording, you can't pull up a live video feed. I'm doubtful that this critical feature will ever be added.",2.0 out of 5 stars,"Reviewed in the United States on November 28, 2021"
10,Amazon Customer,Good For The Cost,"  This is a hard camera to mount. It requires you mount the bracket in place very tight before trying to attach. It requires a lot of force then slide down in place. The first one I received was impossible and seem latch was broke. But Blink directly reached out to me and sent another one quickly. It went on and looks good, but like I said requires a lot of downforce. Needs to be a better design.",4.0 out of 5 stars,"Reviewed in the United States on October 23, 2021"
11,Ed Moore,"Unless you enjoy hours of frustration, DO NOT BUY to record to local USB.","  The Blink video doorbell + sync module 2 might be somewhat OK if you want to continue to utilize the cloud storage option (free 30-day trial is activated by default - probably so you think it works better than it actually will once you cancel the cloud service), but if you're planning to use this setup for local motion-activated recording to a USB stick,  I STRONGLY advise against it. I spent 4 hours last night trying to get the local storage working, and while I would receive motion alerts on my phone, it never once recorded any video. I tried 3 different USB thumb drives, all formatted in exFAT with a PC and with the sync module. Spent over an hour on the phone today with tech support, and while he connected to both the sync module and doorbell repeatedly (and did several reboots) he couldn't figure out the problem either. Then he asked me to download some sketchy app that collects all kinds of info about the health of my home network, and sends it off to who knows where. Yeah, I'm not going to do that. I offered to provide him whatever ""health"" info he needed about my network by using one of the apps I already use to monitor my ""network health"", and he said I had to download that specific app because it's required as the next step in troubleshooting, or he could no longer help me. I also tried troubleshooting using their online support, and encountered endless ""502 Bad Gateway"" errors.Other factors you might want to know:Even if you do finally get the local storage working, according to Blink's website, videos are first transferred to Blink's servers, and then to your USB storage - so you're still dependent on Blink's servers, which is also something that can be taken away or made a ""Premium"" feature in the future.Summary: If you're wanting local storage (a feature that appeals to many of the people interested in this product), this product is FAR from being ready for prime time, and the tech support infrastructure is terrible. AVOID!",1.0 out of 5 stars,"Reviewed in the United States on October 26, 2021"
12,Ed Moore,Impossible to mount,"  I thought I'd have a problem with the technical setup, but I assumed mounting it would be a cinch.  I had it backwards.  I did call tech support to help with setup, but that turned out to be easy.  The mounting instruction video makes it look so easy -- press, slide it down, and it's on.  I can't tell you how many times I watched that video and tried, over and over again, to get it to click on.  I was ready to hit it with a hammer to see if that might make it snap into place, but the guy on tech support advised against it.  I really wish I could have gotten it mounted, because I liked everything else about it.  I'd say it has a definite design flaw.",1.0 out of 5 stars,"Reviewed in the United States on October 26, 2021"
13,T K F,READ THIS BEFORE YOU BUY:  The doorbell that does not chime in your house.,"  This is the most ridiculous doorbell I have ever used.  THERE IS NO CHIME BOX INSIDE YOUR HOUSE, so the doorbell will not ring inside your house, so you will never know if someone is at your door, unless you are holding your phone and staring at the screen to see your ""app notification"".  How could they design a doorbell that does not have a way to attach a chime box inside your house so you can hear it ringing?  Sure is silly to go through the blink app at the end of the day to see how many people sat on your porch ringing your new high tech doorbell that does not chime in your house.  Not my normal experience with this innovative company.",1.0 out of 5 stars,"Reviewed in the United States on November 4, 2021"
14,AnInSe,Completed my set.,"                    The media could not be loaded.
                




   I had already had to blink exterior cameras so when I had the chance to pre-order the doorbell camera I jumped on it. The doorbell camera does its job. Image quality is great day, and night. At night time the infrared is good allowing you to have good clarity and resolution. You get quick notifications when someone is at your door. You can set it to capture any motion at your property. You can set focus areas, and private areas. You can set the length of record time from 5 to 20 seconds.  The placement of the doorbell we'll also impact what's your camera picks up. But after having had and installing various types of doorbell cameras from Ring and more. I'm satisfied. Why go and buy a $100, or $200 option when you can purchase of $50 option that is just as good.Sure there are some drawbacks, but they will be drawbacks with all of them. If I had to point out any one drawback is that the cameras motion capture has a cool down before it can record again.  Example: if the camera has a view of the street and 2 cars go by, the second car could go by without ever being captured on video if it wasn't recorded in the same clip as the first car.You can extend to about of time each clip is allowing you to get more footage. But longer record times use more battery life.I got this one because I already had a hub, and 2 cameras I can capture any, and everything that comes my way. All my Amazon packages are safe, and I know whose at my door Everytime.Bravo, and thank you Blink.",5.0 out of 5 stars,"Reviewed in the United States on November 17, 2021"
15,Judy,Will not attach to back plate,"  Everything was fine with this except it wouldn’t attach to back cover that attaches to your wall. Kind of a big deal I think. Very poor design to say the least. Come on Blink redo it and fix this.ADDENDUM: I sent this back and left this review, I was contacted by Blinks service department who offered to send me another on on them to see if  it would work better. I agreed and received it two days later . Set it up and was successful mounting it! I am very happy with this product and now have 6 cameras and this doorbell at my house, very happy with all of them. Fantastic customer service to boot, can’t ask for more then that.",5.0 out of 5 stars,"Reviewed in the United States on October 25, 2021"
16,Kent Steffen,Broken out of the box,"  Battery door broken and would not attach right out of the box.  Returning for replacement, hopefully just a fluke.",1.0 out of 5 stars,"Reviewed in the United States on October 23, 2021"
17,Wise Buyer,Back door broken,"  After doing all the installation then trying to close it as per instruction… guess what, it does not close. Going back to Amazon.",1.0 out of 5 stars,"Reviewed in the United States on October 23, 2021"
18,koufax,READ before returning camera due to difficulty of camera mount bracket,"  I returned my initial camera for a couple of reasons.  I was issued a refund.  However, after several days (and maybe because of my background and I own multiple Blink cameras and my review - I was contacted by Blink and given another Blink Doorbell camera to test and evaluate.  Here is my first tip at eliminating some of the frustration of mounting the camera.Before you start drilling holes in your home to mount the camera - or ready to return the camera because you can’t get it to snap into the back-plate while in your hand or remove it once it is mounted.  Do yourself a favor and test-mount the back-plate on a scrap piece of  2"" x 4"", plywood, etc  (any piece of scrap wood will work as long as IT IS FLAT).  Doing this will let you test and see the ease at mounting and dis-mounting of this camera using the supplied tool.  Hey, if you can't get it to mount on a flat board that you can flip around here and there  - why in the heck would you want to drill holes in your home's door frame or brick and not be able to mount it?  That's only going to make you more aggravated - which is what I did with my first camera that I returned. I did the TEST-MOUNT myself.  And, in doing so - I think I have found what I call ""the niche"" for mounting and dismounting the camera.  Once it seems flush with the back-plate - push the camera upward until you hear a tiny ""click"".  That is the clip at the bottom locking in.  Use the supplied tool to unlock and repeat this again until you feel comfortable with mounting this on your door frame.NOTE - In my opinion, Blink offers one of the best customer support sites I have encountered.  If you have an issue - call them.  Over the past 2 years,  I have had to call them from time to time.  They have helped me with warranty issues and answered my questions to resolve my problems.",4.0 out of 5 stars,"Reviewed in the United States on October 29, 2021"
19,ERL,Horrible,  The mounting bracket is almost impossible to mount. If you do get it on and take it off again good luck putting it back. I went back to my $7 doorbell and camera above the door.,1.0 out of 5 stars,"Reviewed in the United States on October 24, 2021"
20,santiago,Impossible to install,"                    The media could not be loaded.
                




   The camera works great but the design is defective and I have to use tape to mount it. The bell will not mount to the plate. I called and a new one was sent with the same exact issue. This is ridiculous I am probably going back to a regular doorbell.",1.0 out of 5 stars,"Reviewed in the United States on November 16, 2021"
21,claymore,Came broken,  The back cover wouldn’t attach to the back right out of the box.,1.0 out of 5 stars,"Reviewed in the United States on October 23, 2021"
22,claymore,Absolutely useless!!,"  I have several Blink products and have been very happy with them.  This however has been a terrible experience.  Firstly, it took forever to get this connected to my Blink platform, continual error message and connection fails.Once I finally got this installed I could not get it to connect to my existing chime, despite the fact it met the required specs (16-24V). To me it felt like the metal connectors on the bell were not connecting to the back cover metal connectors.After clipping the unit on and off the back cover several times (attempting to make chime connection) one of the plastic connectors bent making reconnection between the bell and the back cover almost impossible.Finally the tiny flimsy metal connector in the bell snapped rendering the whole thing useless.",1.0 out of 5 stars,"Reviewed in the United States on October 29, 2021"
23,happy camper,Description did not say you had to purchase an additional sync module to use live video,"  I was disappointed.  Description did not say you had to purchase an additional sync module to use live video.  This feature is always included with every other video doorbell.  This is misleading because the product is called a ""Video Doorbell"" but video is not included.Also, the packaging was so tight that it could not be opened without damaging the packaging.I have returned it.",1.0 out of 5 stars,"Reviewed in the United States on October 27, 2021"
24,Katie&Matt,Take away the designers crayons!!!!,"  I’ve supported Blink since it was Kickstarter. Big fan, own 10 cameras. Was excited about a doorbell. Hate it. Mounting it on a stucco wall was pure misery due to the flimsy back plate and the worlds most stupid mounting design. Plate flexes so bad that aligning it to mount is next to impossible if mounted to an uneven surface. Tolerance is way too tight to get the plate back on when flexed even a little bit. And good luck finding that tool to open it back up when the batteries die. Needed tech support to get it recognized in Alexa, but to Amazons credit, they were quick, responsive and did a great job. Named it doorbell when I added it to my network, but now the announcement is “There’s someone at your doorbell”.  I’ve changed every name and setting I can find to front door. Still announces it as doorbell.I blame myself, should have waited for the 2nd generation. But in my defense, Blink has done such a good job on previous releases, and I consider them to be a mature manufacturer now, it never occurred to me they would release such a POS product. Skip this one and get the next generation, hopefully they learn quickly from their mistakes.",1.0 out of 5 stars,"Reviewed in the United States on November 6, 2021"
