,User Name,Review Title,Review Text,Star,Review posted time
0,Zichao Fu,Useful to take care of my pet dog,"  I bought the 360 because I need to check whether my dog behaves well while I’m away. So exciting to watch and talk with her, seems like I’m still with her. The image quality is superb and I can even zoom in closer on the image. My dog walks around in the house and jumps to the sofa sometimes. It did follow her movement automatically thanks to its motion tracking feature. I can see her all day long. Absolutely love this camera!",5.0 out of 5 stars,"Reviewed in the United States on August 17, 2019"
1,Zichao Fu,"The ONLY BABY MONITOR you NEED, Especially for the price! ❤️","  Ok let me just start out by saying OH MY GOODNESS is this camera amazing!! 360 degrees to keep a watchful eye on my babes! Also, remote access so that my sweet parents can also watch her when they can’t be around her (hence this quarantine)!The price!!!!! Well worth it and reasonable! The last monitor I had was over $100 and it died just short of its warranty and could not be sent back. Very very VERY pleased with this product.This product also is easy to mount! No weird angle that you need to attach to the wall then screw in the cams!! NOPE attach then click in the cam! Wonderful!",5.0 out of 5 stars,"Reviewed in the United States on April 7, 2020"
2,Shennanigans9,Great camera at a great price-point and simple to setup!,"  I have the Nooie 1080P indoor camera and I've been quite happy with it so I had to give this 360-degree model a try. It takes the features of the static camera and adds the ability to pan and tilt the camera either manually or you can enable motion tracking easily through the app. I wrote a review for the static camera and many of the features carry over including its great video quality so if you've read that review, some of this will seem familiar.Setup -Setup was very simple using your phone or tablet, running the free Nooie Cam app. You first need to verify that your phone is connected to the 2.4Ghz access point in your home where you will be using the camera. You then simply start the Nooie Cam app and select the +Camera button. You select the Nooie Cam 360 option and it will walk you through the remaining, simple steps. Basically, you assure the camera is on, enter the password for the wireless access point/router your phone is currently connected to (this is the same one you will be connecting the camera to), click Next, and a QR code appears on the screen of your phone. You now hold the screen of your phone in front of the Nooie camera's lens and it provides an audible tone and LED light indicator when it is finished reading the QR code. The app will now inform you that it is pairing and will begin a countdown. When complete, the app will inform you that pairing has completed. It's that simple.Use -Now that the camera has been added, you simply select it to view the camera. To hear audio from the camera, you select the speaker icon within the app and now you are able to see and hear what's going on around the camera. The camera also has a built-in speaker that allows you to press the microphone button within the app and then speak through it. This is very useful and/or just fun depending on where you locate the camera. For example, I have the camera in my living room where my cat typically spends a good part of her day. If you have cats, I'm guessing yours is similar where she doesn't have one place that she always lays within a room. She instead has multiple locations that she'll randomly select. With this 360 degree camera, either from home, from work, a restaurant, wherever I have WiFi or cellular access I can pan the camera from left to right and up or down. It's range is great where you can literally place the camera in the center of the room and, from the app, turn it from it's left side behind it all the way around front, through to the right side behind it just by swiping across the screen with the camera's image live the whole time. You can pan it around to see the entire room. Beyond this, you have the ability to tilt the camera up and down from the app as well by swiping up and down on the camera's image live. I can scan the room for my cat, locate her, and then touch the microphone to talk to her. Being a cat, she chooses whether she wants to respond or not. Sometimes her ears just perk up and she whines (which you can hear through the camera's built-in microphone), but other times she'll choose to walk over to the camera and give it some love. :)If you choose to use the Motion Tracking feature, if your cat, or anything really, moves in front of the camera's lens, the camera will follow it. As the moving option moves close to the edge of the camera's current visibility, the camera will move to center the moving object within it's vew and continue doing this until the moving object either stops moving or moves behind something where the camera can no longer see it. One thing to note with automatic Motion Tracking is the camera can pan 360 degrees. If something moves and the camera ends up pointing in a different direction than the next moving object. The next moving option must move in front of the lens at some point for the camera to see it and start tracking it. Depending on where you mount the camera and your use, this may be fine or it may not. So, definitely think about this before placing the camera if you plan to enable Motion Tracking.Video and audio can be recorded to either a microSD card or to the cloud. Cloud storage is a paid service. Given my usage, microSD recording is fine for me so I haven't tried the cloud storage option. MicroSD recordings are easily accessed through the app via a scrollable tape across the bottom of the screen. You select the day and then scroll through to the time you would like to view. If at any time you are viewing live video or recorded video from the app and you would like to save the video to your device, you simply press the camera icon on screen to set the start point, continue watching the video as it plays, and press the icon again when you'd like to stop and the video will be saved to your device. It's VERY easy!Like other security cameras, you can also setup notifications based on sound and/or motion. This too is easy to configure by selecting None, Low, Medium, or High for each option and then selecting the timeframe that you would like to receive notifications. Note that you can enable disable notifications by day, but each day only has one start time and one end time that can be selected. Meaning, you cannot setup notifications from 8am-5pm and then again 10pm to midnight for the same day. You could do one or the other, but not both. I don't see this as a problem for me, but it's worth noting depending on your use case.There are a few additional notable settings. First is the ability to enable/disable audio recording. I haven't done much testing with this, but I'd imagine this could save some space on your microSD card, allowing you to possibly record more video if disabled. Second is the ability to enable/disable the small LED light on the camera. If you placed the camera in a visible location in your home, you may want to disable the LED to avoid the distraction of it. Last, there is a Rotate Image option. So, if you need to mount the camera under an overhang, cabinet, etc., you can simple tap this button to flip the image for mounting the camera upside down and now viewing it live or recorded video will display right-side up.Customer Service -I reached out to Nooie's customer service prior to purchasing my previous camera as I had a number of questions. I received quick, thorough responses the same day, shortly after I had sent them. I worked with Julia who was great to work with. Very friendly, personable, and understanding. Julia's customer service was great and made the decision to purchase this camera a complete no-brainer. As I'm sure many of you know, when you have questions or something goes wrong you really find out what a company is made of. I'm happy to say Nooie's support is great! Regarding this camera, I had a few questions for Nooie support prior to purchasing it and received the same great, prompt responses. This proved even moreso that their support is great! It wasn't just a one time fluke with the first camera.Summary -This camera works great and has clear video. The two-way communication capability is an added bonus and could open up its use to more than just a security camera. It's ability to automatically track motion as well as it's ability to turn 360 degrees while automatically tracking motion and/or by manually swiping the screen coupled with it's low price point of under $40 makes this a great buy in my book! I am definitely glad that I added this camera to my home. It will work well keeping track of not only the cat, but I can see when my teenager comes and goes when I'm not home.",5.0 out of 5 stars,"Reviewed in the United States on May 18, 2019"
3,Carrie,Great tool to help us keep grandma safe and secure in our home.,  Especially like night vision quality! Using it as grannycam for dementia mother who can roam house at night.,5.0 out of 5 stars,"Reviewed in the United States on November 17, 2019"
4,JDS,"Don’t get it, spend your money elsewhere.","  DO NOT BUYThe only good thing, when it works, the picture is great.Everything else is horrible. The way you set it up you can’t just type in your password, it generates a QR code and it tries to get the camera to read it to discern your password. The problem is that it reads it wrong half the time. It rookie me nearly 30 tries just to get it set up the first time.The setup is horrible. Idk who thought his up but it barely works at all. I could get to step 2 or 3 and it would say it had connected but then just timeout.For reference, I have google fiber, a nighthawk router, and I have multiple devices MUCH farther away from my router that NEVER have issues. This thing had trouble just CONNECTING. It’s terrible. Idk if it’s the network chip in it or what, but it’sGod awful.If any of your toddlers unplug it ever, when you plug it back in it doesn’t reconnect. You have to manually redo the entire setup process. Anytime you lose power, or it gets disconnected.It has a lag to viewing. It has to “load” every single time you try to view it.It’s about as UNINTUITIVE as it gets.",1.0 out of 5 stars,"Reviewed in the United States on July 22, 2019"
5,JDS,Great product,  Awesome camera and quality.  I've bought 2 already and one of the non moving ones as well. Awesome infrared and great customer service! I will continue to use these even after my baby is grown!,5.0 out of 5 stars,"Reviewed in the United States on October 29, 2019"
6,Travis J Rudd,BEING WATCHED EASILY HACKED,  This camera followed me around the Room and took pictures while I was sitting in the chair watching my baby at night someone very clearly can hack this camera even after attempts to correct it was very easily hacked and we were definitely being watched!!!! BEWARE! I'm not sure why no other feedback for this is showing up with this issue.,1.0 out of 5 stars,"Reviewed in the United States on July 24, 2020"
7,Sandra Huizar,"Great camera, easy to set up, worth the price!!","  This camera is really worth the price compare to the other cameras I bought before! It has great night vision feature, high picture quality and the camera can pan up and down so i can easily look around the room.  It's a great indoor camera. The sound through the app is clear and the two-way audio works well, my cat tries to find me every time I talk through the camera LOL. I would highly recommend this camera!!",5.0 out of 5 stars,"Reviewed in the United States on August 25, 2019"
8,Sandra Huizar,"Great size, really easy to use, good for my pets!","  My pets love it! They always walk around it. And I don’t need to worry about them when I’m at home. Great product, the size is good and really light weight. Will definitely recommend to my friends who have pets.",5.0 out of 5 stars,"Reviewed in the United States on August 13, 2019"
9,Melissa Councell,Being watched?,"  I know it sounds crazy, but I think my partner and I are being watched. We bought this product a couple months ago, and if you have purchased this product and set it up, you know that it makes a startup sound when it’s plugged in and first turns on.It’s been working fine until about a week ago it randomly made the start up sound, but the camera was already on. It’s been happening more and more lately, and the camera now starts to move in our direction even if my partner and I aren’t making any noise or moving. I’ve since unplugged it because I feel uneasy about it.Honestly, it’s a great camera otherwise. The price is great and we haven’t had any problems with the camera besides we feel like we could be being watched.",1.0 out of 5 stars,"Reviewed in the United States on June 1, 2021"
10,Yilin,Smart and powerful camera,  I like this camera very much. It looks simple but is smart and powerful. You can record high quality videos/photos through Nooie APP even under poor light conditions. You can also hear the sound from the camera and make your voice heard to the camera remotely. It can move at any direction and the angle can be controlled by simply tapping and dragging on your phone screen. Highly recommended.,5.0 out of 5 stars,"Reviewed in the United States on May 13, 2019"
11,Yilin,ABSOLUTELY AMAZING PRODUCT,"  At first I was a bit skeptic about the quality that this camera would have. I wasn't familiar with the brand Nooie, and with such an amazing deal on the purchase price, I just assumed that it was too good to be true. However, this camera has not only exceeded my original expectations, but it has also created a new standard on what I expect from any future camera or recording device purchase.The camera offers amazing video quality no matter which video resolution your using. The added night vision feature is just an amazing bonus to have, even more so with the clarity of the screen images. The downloadable app that goes along with the device works wonders, and has a nice amount of features to make your camera experience go above and beyond what most cameras will allow.The camera has video recording, still picture taking availability, voice activation, motion detection, motion activation, two way communication, cloud storage, sd card storage, sharing capability, and a lot more features that will make you fall in love with the camera as well as the available app. I definitely give this camera and its available app a 10 out of 10! I love it so much, I'm going to purchase 4 more!",5.0 out of 5 stars,"Reviewed in the United States on November 9, 2020"
12,Connor Hua,Love this camera,"  PROS:Great priceQuality pictureEasy set upSelf-monitoringTwo-way audioLots of features in the appCONS:Limited to one range of time per day for monitoring.The manual does not specify which type of microSD cards is compatible.Your phone/monitoring device must be on same internet connection to set upI love this camera. It was easy to set up and use. I already have a Nooie 720P so adding this camera to the app was easy. If this is your first Nooie, you will need to download the app and create an account before using the camera. Once installed, you use the camera to scan a qr code that will appear on your app.  If you already have a Nooie, you can add this camera to the app by pressing the + sign for adding cameras in the app.The quality of the picture is good and the ""follow"" technology worked perfectly. When I first connected it, there was about a 15 second lag between the camera and viewing on my app. I suspect that was an internet-related issue because that disappeared quickly.I forgot to order a microSD card with the camera. If you want to be totally self-monitored, you will need a compatible microSD, The manual does not specify which type of microSD cards is compatible. The first one I ordered for my 720P did not work but the SanDisk card I ordered after reading comments here on Amazon, worked great. Other than this, the manual is simple and succinct, easy to follow.If you are watching live and want to take a still picture or video of what the camera is seeing real-time, there is an option in the app to do so. There is also a monthly monitoring service available for purchase at a reasonable cost through a company Nooie partners with.The camera arrives well packaged with recyclable cardboard material. Once removing the camera, there is a lower compartment that has the power connector and cable as well as hardware to mount on a ceiling or wall. The camera stands on its own when using on a table or shelf.Your phone/monitoring device must be on same internet connection to set up. Once set up, you can monitor from anywhere you have Internet.  That is not an issue for most, but I could not set it up in my office. Our WiFi system treats each login as a unique private network for security reasons. There is no way to plug into the camera for direct setup (an option many printers have, for example) so I am unable to use it in my office.For most, this is a VERY affordable, quality product that will meet your needs. I find myself favoring this camera over my SimpliSafe.",5.0 out of 5 stars,"Reviewed in the United States on June 17, 2019"
