Unnamed: 0,User Name,Review Title,Review Text,Star,Review posted time
0,S. Marshall Priddy,basically malware,total waste money obnoxious decided change default browser yahoo okay well switch back right sure going nag reenable like weekly basis ended uninstalling regretting ever wasted money thisthe whole point trying protect computer want want pop ups software im trying run steal resource make thing want go slower ruin computer steal time run program dont want bad time open window didnt ask generally take control computer booting role supplicant ask permission anything got bad aspect actual malware leaving wondering point isif anyone good recommendation antimalware package isnt annoying interjection time resource hogthat something quietly work background bother there real threat rather getting face screaming whatever think important there really nothing going onim ear hate software lot,1.0 out of 5 stars,"Reviewed in the United States on July 24, 2018"
1,Amazon Customer,replaced free version avast antivirus malwarebytes,replaced free version avast antivirus malwarebytes mcafee wanted full featured single product solution would run automatically im sorry made decision avast malwarebytes functioned well kept pc protected also able load program couple offering tested seamlessly issue unfortunately pretest mcafee paid took 6 hour time 2 session mcafee support finally get successful install macafee 100 percent way satisfaction promise complete joke gave couple hour research address issue could help think low level tech support person could least pointed direction resolving issue mcafee could go several cleanup removal operation along action load software administrator nightmare load mac went ok functioning seems bit flakey time ive invested im going remove ask refund one doesnt encounter install problem passable product however several full featured program available would suggest investigating,2.0 out of 5 stars,"Reviewed in the United States on July 10, 2018"
2,Aileen Arzate,dont waste money,always used mcafee today never code kept giving error called tech support wete trying scam put 200 additional fire wall laptop told didnt want pay said couldnt even get refund pay 200 firewall order install antivirus laptop scam waste moneyzero star option,1.0 out of 5 stars,"Reviewed in the United States on August 10, 2018"
3,rat racer,good product overall,get annoying message application install another device remove cooky tracker etc click application overall good product price havent virus realized five year probably couldve done simple antivirus version cheaper instead total protection version least didnt pay full price going amazon installation issue suggest following1 create mcafee account email password install way going back forth confusing multiple window up2 close everything else screen except internet explorer chrome going use install software browser work installation3 click installation youve installed chose new subscription renew subscription least way get clean install4 leave alone anything else took 15 20 minute remove prior installation also prompted restart computer,3.0 out of 5 stars,"Reviewed in the United States on November 26, 2018"
4,CaliGal,perfect super easy,doesnt get better low price convenience perfect every way moment ordered able find digital purchase section clicked link macafee site entered code simply followed prompt even automatically remove old version product send code email well go straight digital purchase section save time coverage easy install couple computer smartphone year 25 perfectupdate 2019 purchased year later 2699 instead 50 everywhere else within minute removed older version fresh install even carried day last time towards new amount day protected coverage 3 device doesnt get affordable easier thisupdate 2020 20 day left bought worked like charm 3rd year row buy go digital purchase section copy paste key even link open site enter key took couple minute added 365 day subscription also want add running decent adblocker meant problem last year actually worksupdate 2021 5 week left subscription noticed price dropped 2799 1999 bought digital download code instantly delivered email appeared game software library minute subscription extended another year plus didnt lose day left current paid subscription last year either ill keep updating every year positive review long make hassle free honest transaction ever change ill also post bad review far positive 4 year row,5.0 out of 5 stars,"Reviewed in the United States on October 1, 2018"
5,Mike T.,im bit disappointed understand good product,one day bought hour trying install called mcafee asked cash back guarantee told would send check really paid via debit card two week nothing im bit disappointed understand good product really poor service,1.0 out of 5 stars,"Reviewed in the United States on July 30, 2018"
6,Joseph V.,buy mcafee product,1 installation process stink lead circular loop whereby can not use download option actual download according tech messaged want run virus program told must delete avast huh say buy program 2 error message saga help online walk 3 finally installed two icon created mac generic icon nothing saying mcafee bush league 4 got kind error started scan saying something unknown error received scanner instruction popped several time 5 also got installation error said cant open application mcafeemacinstallerapp may damaged incomplete instruction fix oddly shortly finished installation error jeez 6 got another error system extension blocked googled mcafees website said knew problem instruction said enable mcafee security privacy system preference kidding guy unacceptable 7 full scan took forever exceedingly slow competed solid blue progress bar mean done done stopped 12 hour fed waiting 8 estimate duration scan read mcafee site could take day run end instruction fix actual problem run scan 2 day fix malware 9 logmein session tech closed program mine without asking rude summary buy product soon contacting mcafee demanding full refund worse damn software product believe ive ever used 30 year computing see proof issuesi hope review read everyone waste money horrible product,1.0 out of 5 stars,"Reviewed in the United States on August 20, 2019"
7,Joseph V.,easy,ive using mcafee almost 20 year never knock wood virus since problem expensive buy unless call get chat theyll come dont time best buy go medium amazon copy code click link youre already customer mcafee youre signed running couldnt easier,5.0 out of 5 stars,"Reviewed in the United States on June 13, 2018"
8,Lisa FFC,scam worked end,wouldnt install called 8889960392 came error code talked rep 40 minute explained trojan invasion hacked foreign entity needed fire wall 898 saying much deal 3 year coverage 300 got angry buying hung called 8666223911 next day talked legitimate tech hour finally got product installed scammer exist amazon product beware mcaffee,1.0 out of 5 stars,"Reviewed in the United States on March 12, 2020"
9,Cecil Zee,scam read,deal seem good true well never write review want people fall trap link provided amazon isnt even valid lead nowhere looked activate mcafee 25 digit code accidentally browsed fake mcafee site capital name lower case catch seemed legit put name phone number 25 digit code validated wasnt working 3rd party scammer chat window side go website fastsupportcom could take control machine work yes sound bad couple time ive call place install special program way research see browsed fake site identical capital address bar word mcafee tech took control machine basic phony command prompt trying show virus sell something said network infected foreign ip bogus reason could download software virus computer literally took box purchased code time way could virus socalled virus csrssexe error part window operating system ended remote session questioned guy certain thing would answer got angry ended session scam charge ton money fix computer dont even anything found real mcafee site asked guy familiar number called 8888821699 said use fastsupportcom seems like many people review scam attempt dont fall going back malwarebytes reason bought good deal thats lesson,1.0 out of 5 stars,"Reviewed in the United States on February 11, 2020"
10,Justyn,five star,much better deal auto renewing macafee app,5.0 out of 5 stars,"Reviewed in the United States on July 31, 2018"
