,User Name,Review Title,Review Text,Star,Review posted time,Total Description,ReviewDescription_score,ReviewDescription_Sentiment
0,Jeff,great one fatal flaw,really enjoy device impressed ability alexa said add option disable try alexa suggestion bottom home screen cant recommend buying addition unitslooking online far person driven crazy hope amazon listens feedback make possible future updateedit current top review claim everyone else complaining wrong disabled person right fact customize lot display try suggestion bottom one record contacted amazon support posting review confirm anyone say otherwise simply wrong,2.0 out of 5 stars,"Reviewed in the United States on November 26, 2019",really enjoy device impressed ability alexa said add option disable try alexa suggestion bottom home screen cant recommend buying addition unitslooking online far person driven crazy hope amazon listens feedback make possible future updateedit current top review claim everyone else complaining wrong disabled person right fact customize lot display try suggestion bottom one record contacted amazon support posting review confirm anyone say otherwise simply wronggreat one fatal flaw,0.8780308365821838,NEGATIVE
1,Jeff,alexa dont want thing try,aaaaaaaggghhh thing try saying sooooooooo annoying stupid pertain alexa say hello german alexa rap alexa hot sun alexa whats temperature north pole blah blah blah constantly scroll overtop picture photo upload home screen wallpaper making really hard ignore clock small upper left corner right top read couldnt take return new echo show 8,1.0 out of 5 stars,"Reviewed in the United States on November 27, 2019",aaaaaaaggghhh thing try saying sooooooooo annoying stupid pertain alexa say hello german alexa rap alexa hot sun alexa whats temperature north pole blah blah blah constantly scroll overtop picture photo upload home screen wallpaper making really hard ignore clock small upper left corner right top read couldnt take return new echo show 8alexa dont want thing try,0.9987586736679077,NEGATIVE
2,Dan Curtis Fan,thought would better,echo 5 cant stand try alexa phrase bottom review read 5 wasnt one hope amazon realized people didnt like returning least make option,1.0 out of 5 stars,"Reviewed in the United States on November 25, 2019",echo 5 cant stand try alexa phrase bottom review read 5 wasnt one hope amazon realized people didnt like returning least make optionthought would better,0.9970484375953674,NEGATIVE
3,Eric Moyer,echo show 8 good quite good echo show 5,echo show 5 month work office like great deal especially like ability customize clocki received new echo show 8 gift past weekend like reason like echo show 5 great connectivity good diversity content skill great sound speaker photo displaybut found es8 option clock face es5 apparent reason highlighted marketing es8 amazon please update es8 software permit least range clockfaces es5,4.0 out of 5 stars,"Reviewed in the United States on November 26, 2019",echo show 5 month work office like great deal especially like ability customize clocki received new echo show 8 gift past weekend like reason like echo show 5 great connectivity good diversity content skill great sound speaker photo displaybut found es8 option clock face es5 apparent reason highlighted marketing es8 amazon please update es8 software permit least range clockfaces es5echo show 8 good quite good echo show 5,0.9982719421386719,POSITIVE
4,Eric Moyer,easy good ring camera,received new echo show 8 hd 8 smart display alexa couple hour ago unpacked connected wifi within 30 minute 3 ring camera front door bell front back yard motion light camera followed step add ring alexa app like 2 minute intuitive dont know right another 5 minute said alexa show front door said okay front door camera screen said alexa show back named devise back said okay showed back yard camera front successfully many smart device alexa app found wifi im excited figure add themalso understand importance naming device alexa understands exactly name devise list voice command,5.0 out of 5 stars,"Reviewed in the United States on November 26, 2019",received new echo show 8 hd 8 smart display alexa couple hour ago unpacked connected wifi within 30 minute 3 ring camera front door bell front back yard motion light camera followed step add ring alexa app like 2 minute intuitive dont know right another 5 minute said alexa show front door said okay front door camera screen said alexa show back named devise back said okay showed back yard camera front successfully many smart device alexa app found wifi im excited figure add themalso understand importance naming device alexa understands exactly name devise list voice commandeasy good ring camera,0.760190486907959,POSITIVE
5,Alexander Scherr,great addition home tech,first echo device already set several skill alexa app echo show 8 arrived ready expectation already set quality response voice command considering entering echo echosystem fence getting one try downloading alexa app phone tablet try phone app iphone ipad case button push activates alexa show 8 say name start listeningsome alexa skill still need work satisfaction may vary show 8 great speaker sound better expected actually pretty awesome compared show size fill room sound show 8 external speaker jack back dont see ever using internal speaker good feel bass speaker vibrating kitchen countertop speaker rear backed close wall provides best sound projection quality similar concept higher end bose speaker rearfiring element designed reflect sound wall provide ambiencewhen music played lyric scroll screen sing along housemate dog stand even playing higher volume level still get alexas attention may take one attempt microphone quite sensitive pick another room long much background noise show 8 also bluetooth pair phone laptop device play music show 8 speaker frequently since show 8 speaker sound much better internal phone laptop speaker notice bit delay watching video laptop audio coming show 8 may artifact using bluetooth send audiorather recommended stand stand purchased echo show 8 adjustable aluminum swivel stand also sold amazon see review stand page stand recommended allow position show 8 optimum viewing anglei also purchased several meross wifi smart plug also sold amazon programmed link alexa give one command alexa turn christmas light plug christmas group turn time pretty cool christmas plug assigned dutiesthe show 8 browse web firefox skill allow open web browser dont like tapping letter screen pair bluetooth keyboard mouse see photo hp printer linked show 8 print grocery list stuff find internetnot dealkiller cant seem able disable try alexa blah blah blah bottom home screen disable skill cycling topic center screen another reviewer noted show 8 kitchen display face looking time big dealhave admit skeptical wasnt sure would find usefulbut im liking device every day echo dot found place household well along echo buttonslike echo show 8 much ordered another one give daughter soninlaw,5.0 out of 5 stars,"Reviewed in the United States on November 27, 2019",first echo device already set several skill alexa app echo show 8 arrived ready expectation already set quality response voice command considering entering echo echosystem fence getting one try downloading alexa app phone tablet try phone app iphone ipad case button push activates alexa show 8 say name start listeningsome alexa skill still need work satisfaction may vary show 8 great speaker sound better expected actually pretty awesome compared show size fill room sound show 8 external speaker jack back dont see ever using internal speaker good feel bass speaker vibrating kitchen countertop speaker rear backed close wall provides best sound projection quality similar concept higher end bose speaker rearfiring element designed reflect sound wall provide ambiencewhen music played lyric scroll screen sing along housemate dog stand even playing higher volume level still get alexas attention may take one attempt microphone quite sensitive pick another room long much background noise show 8 also bluetooth pair phone laptop device play music show 8 speaker frequently since show 8 speaker sound much better internal phone laptop speaker notice bit delay watching video laptop audio coming show 8 may artifact using bluetooth send audiorather recommended stand stand purchased echo show 8 adjustable aluminum swivel stand also sold amazon see review stand page stand recommended allow position show 8 optimum viewing anglei also purchased several meross wifi smart plug also sold amazon programmed link alexa give one command alexa turn christmas light plug christmas group turn time pretty cool christmas plug assigned dutiesthe show 8 browse web firefox skill allow open web browser dont like tapping letter screen pair bluetooth keyboard mouse see photo hp printer linked show 8 print grocery list stuff find internetnot dealkiller cant seem able disable try alexa blah blah blah bottom home screen disable skill cycling topic center screen another reviewer noted show 8 kitchen display face looking time big dealhave admit skeptical wasnt sure would find usefulbut im liking device every day echo dot found place household well along echo buttonslike echo show 8 much ordered another one give daughter soninlawgreat addition home tech,0.964134693145752,NEGATIVE
6,Dave W. Dinges,scaled version show 2 bargain,bunch echo device home including echo show 2 10 inchi feel like best bargain current pricessure getting 20 percent smaller term screen size difference crazythe screen resolution almost look goodthe sound solid echo show 8i think 8 compressed version 10 inch version doesnt mean goodoverall would definitely consider getting 10 inch model price difference justifies,5.0 out of 5 stars,"Reviewed in the United States on November 26, 2019",bunch echo device home including echo show 2 10 inchi feel like best bargain current pricessure getting 20 percent smaller term screen size difference crazythe screen resolution almost look goodthe sound solid echo show 8i think 8 compressed version 10 inch version doesnt mean goodoverall would definitely consider getting 10 inch model price difference justifiesscaled version show 2 bargain,0.9860549569129944,NEGATIVE
7,cacalazani,backlight bleeding,love way control home automation alexa excited get echo show 8 first echo screen unit soon powered first thing see backlight bleeding much normal much got bad unit anyway thought would ok see much brighter picture got inactive ill clock black screen full backlight bleed contact amazon see normal get replacementedit amazon awesome sending replacement post back new unit arrivesedit added picture comparison second unit look really good thank,1.0 out of 5 stars,"Reviewed in the United States on November 27, 2019",love way control home automation alexa excited get echo show 8 first echo screen unit soon powered first thing see backlight bleeding much normal much got bad unit anyway thought would ok see much brighter picture got inactive ill clock black screen full backlight bleed contact amazon see normal get replacementedit amazon awesome sending replacement post back new unit arrivesedit added picture comparison second unit look really good thankbacklight bleeding,0.9797255396842957,NEGATIVE
8,cacalazani,great device except one fatal flaw,terrific device except one flaw ruin message display bottom screen try alexa giving instruction different way use device example message displaying show right moment try alexa show movie emma watsonthere way turn constant display message googling see hundred customer already complained amazon problem amazon refuse give customer way remove instrusive screen display apparently amazon think customer 10years old need constant onscreen display instructionsthis try alex also form advertising albeit advertising amazon productsuntil amazon remove display give customer choice removing strongly suggest buying different company product google sell similar product apple neither company treat customer contemptupdate submitting review found solution wrapped piece black electrical tape around bottom screen positioned hide alexa try message hide anything else result look great annoying message longer ruin photo anything else screen downside solution make screen slightly smaller better smaller screen look decent larger screen completely ruined message still recommend buying different company product ridiculous way block message cover screen electrical tape,1.0 out of 5 stars,"Reviewed in the United States on December 2, 2019",terrific device except one flaw ruin message display bottom screen try alexa giving instruction different way use device example message displaying show right moment try alexa show movie emma watsonthere way turn constant display message googling see hundred customer already complained amazon problem amazon refuse give customer way remove instrusive screen display apparently amazon think customer 10years old need constant onscreen display instructionsthis try alex also form advertising albeit advertising amazon productsuntil amazon remove display give customer choice removing strongly suggest buying different company product google sell similar product apple neither company treat customer contemptupdate submitting review found solution wrapped piece black electrical tape around bottom screen positioned hide alexa try message hide anything else result look great annoying message longer ruin photo anything else screen downside solution make screen slightly smaller better smaller screen look decent larger screen completely ruined message still recommend buying different company product ridiculous way block message cover screen electrical tapegreat device except one fatal flaw,0.9830359816551208,NEGATIVE
9,PJ,thing try make product cant recommend,wrongly assumed new improved echo show would offer way turn absolutely annoying thing try wrong come way turning cant give good review product echo screen show spot would put echo show 8 every room would allow kill thing try,1.0 out of 5 stars,"Reviewed in the United States on November 28, 2019",wrongly assumed new improved echo show would offer way turn absolutely annoying thing try wrong come way turning cant give good review product echo screen show spot would put echo show 8 every room would allow kill thing trything try make product cant recommend,0.9991148114204407,NEGATIVE
