Unnamed: 0,User Name,Review Title,Review Text,Star,Review posted time
0,Haley,one major flaw,bought use baby monitor thinking quality good would end purchasing outdoor set well got afternoon set super easy picture quality excellent price pointthe main issue option continuous viewing live view app automatically shut 30 second dont tap continue prompt known ahead time would never purchased blink camera watch daughter fire tablet work night really feasible stop typing every 30 second press buttonmaybe fault realizing dont remember reading information length viewing time assumed would like foscam sought replace blink ever add update continuous viewing would repurchase heartbeat im sending back,2.0 out of 5 stars,"Reviewed in the United States on April 18, 2020"
1,Ben,updated confusing cloud storage policy smaller camera great product clarified,updated saw smaller camera announced excited looked forward adding existing 5 camera blink system figured would great replacement xtxt2 camera inside house could repurpose additional outdoor location thought brilliant addition blink camera ecosystem adding lower cost camera indoor application like mine benefit battery power weatherproofness would overkill soon released ordered twopack add system installed one found picture quality right box best change video quality setting enhanced right xt2 quality motion detection little spotty use new digital method detecting motion ai compare one frame next check change subtle movement show like shadow moving across viewing area actually walking across sometimes rep spoke said working update improve consistency feature available overtheair update since digitalbased feature think pretty cool originally poor review based around cloud storage feature camera purchased camera looked cloud storage feature literature found stated subscription would required since different previous xt xt2 system pleased posted original review rep blink reached clarify cloud storage situation learned already xt xt2 system add camera without get paid subscription blink system camera first one get get free subscription december 31st 2020 pay 3month per camera though plan released new sync module sd card slot locally store video clip without pay subscription personally think intend many people subscription plan think see sd card functionality selling point piggyback first adopter mini camera onto cloud storage new sync module get released maybe delay getting new sync module released time mini due factory closing around world right much happier getting cleared hope update cloud storage subscription info product page make much clearer work looked available info buying probably would purchased based unclear info end savior situation rep contacted blink clarified concern gave great amount info product answered question lot clear rep ask change review take way artificially influence thing great job led change accord really took care concern one star deducted confusion three added back great c experience good product get buyer good service get customer life blink done fantastic job turning disappointed misinformed buyer satisfied customer recap existing blink system buy use em need wireless one looking get first blink setup get knowing option paying subscription starting 2021 onetime purchase sync module sd card slot store video clip,4.0 out of 5 stars,"Reviewed in the United States on April 17, 2020"
2,Wcouv,great camera rushed app missing key feature clearly designed camera,preordered 4 camera without review posted hope help someone first camera pretty nice easy setup get connected price perfect app thing start fall apart clearly created blink camera battery dependent quirksproblems found probably necessary battery saving blink camera camera well ten year gone several different appsprograms access store video never app allow view camera time one requires select single camera activate individually view real time video assume designed battery saving since camera always serf purpose additionally ability view camera activated single 4 pane window seems step wrong direction year able see live feed multipane format select camera want zoom one appsecond tech support best good contacted regarding ir light apparently turned although turn via app blink camera support tech actually stated know anything camera ask someone else first ir light probably big deal year indoor camera pointed window since front yard pretty well lit night ir light stuck position make impossiblei never review anything wanted get word suspect camera kind rushed app repurposed sincere hope address live view concern future app update specific blink mini owner soon hope here hopingupdate contacted blink following regarding review indicated multiple people voiced similar concern apps realtime capability made sound like developing update app address also offered send additional camera older model allow turn ir charge asked directly would exchange changing review specifically ask amend review nothing else great customer service,3.0 out of 5 stars,"Reviewed in the United States on April 17, 2020"
3,Grant,still missing key feature,medium could loaded may 2021 update unfortunately downgrade original review year blink added missing feature listed original review especially individual camera notification control one camera missing feature huge annoyance blink forum asking simple feature 3 year blink unresponsive feature ever added update review recommend blink system againi happy blink expanding offering little camera surprised blink xt2 system well yi camerasthis camera make much better baby camera blink xt2 work perfectly existing xt2 system sign cloud subscription mini recording free part xt2 system xt2 camera require subscription huge benefit reason people would purchase mini xt2 hopefully free cloud storage stay mini recording especially people xt2 system daily experience good app work well feature con listed big issue blink easily resolve camera still happy overallprosgreat build quality designgreat picture qualityvery responsive connecting echo show seems better xt2small sizemountable baseweighted base weight removedlong usbpower cordtwo way audio applocal storage option buy new sync 2reliable appconsno two way audio echo show amazon company sure feature alreadyno individual camera armdisarm scheduling forced schedule entire systemno individual camera notification control blink please also add feature extremely annoying especially add camera really want notification front door want recording without notification rest house imagine people would want thingcan continuously view app annoying especially camera case using baby monitor continuously view echo show cut eventuallypaid subscription cloud recording blink camera free cloud recording would better camera followed strategyoverall camera would perfect get 5 star blink fix app feature missing listed contacted blink various form inform missing simple feature response unimpressive plan modify review feature added unfortunately people begging blink feature year,2.0 out of 5 stars,"Reviewed in the United States on April 17, 2020"
4,Grant,home security updated 51220,medium could loaded update 51220 3 star 2 camera cut hour time essentially half day activity trigger camera sure camera inactive essentially half day recordingfor instance sunday night last recorded motion 1127 pm monday first recorded motion 815 pm today lapse 439 1217 pm someone usually walk apartment least every 10 minute throughout day unreliable home security 1 star could useful someone live view 3d printer something time lapse feature look elsewhere home security purchased yi dome cam extremely happy plus internal microsd storage continuous recording 360 capabilitynote set trigger motion time scheduled break turn homeupdate 43020 2 star 3 development team added option turn night vision infrared light thank responsive still issue retrigger time leading lapse event recording hopefully continuous recording could option future maybe combination sync module 2 feature added would recommend home securityoriginal review 2 stari repeat use home security look elsewhere home security solutionthis camera exclusively triggered motion sound perfect security camera major downfall blink platform camera search motion record time sens motion little great however record 30 second point recording stop camera grace period trigger due motion period time blink setting break period adjusted go le 10 second event 45 second long record first 30 second last 5 second leaving 10 second gap footage could key solving break similar eventanother issue night vision turned select auto camera looking glass window night see anything even light outside infrared led go glass end getting terrible glare window almost completely black screen could turn would see window street lit exterior lightin addition live view ridiculous must tap continue button every 1530 second keep watching feed tap button prompted back live viewas picture quality okay read license plate 15 foot away though zoom someone face would hard tell 10 foot away price though terriblei care go detail app lacking many waysi returned camera search better solution next attempt yi dome camera x,2.0 out of 5 stars,"Reviewed in the United States on April 28, 2020"
5,Matt Smith,useless toy nothing else,camera zero feature far security camera needed know purchase toy1 memory card capability meaning subscription cloud service otherwise wont able record anything2 without cloud service deception use live view requires tap screen every 30 second constant view option useless want use monitor anything3 basically option mute volume live view volume adjust button little sensibility either loud whole environment hear going set mute4 user friendly app use order access camera user friendly small letter hard read even able read icon doesnt make sense explanation5 night vision joke camera view wont able see difference cat raccoon 4 foot distance6 software operating system ready use time trying access camera view say system busy please wait mean idea7 considering major issue come camera would never trust purchase cloud service company poorly designed taught whole idea security camera8 price almost 40 bug plus cloud plan end paying 100 first year price purchase decent system truly serf needsi watched many video youtube camera none telling review done say something nice item get free reviewer,1.0 out of 5 stars,"Reviewed in the United States on June 22, 2020"
6,Matt Smith,easy set app lacking,blink xt user three camera exterior home set mini far easier outside cam thing set le 5 minute picture good sound loud looking forthe app however need work support style camera app work decently blinkxt camera functionality motion user get notification motion record watch recording live please clunky get blink mini purpose continuous viewing intention camera like baby monitor like many american working home full house kid wanted use assist keeping eye kid worked record cute moment wanted use visualize blind spot see office tried mounting ceiling realized rotate video mounting wall little problematic quite get right angle neededanother quirk app switch another app come back blink app hit play button resume viewingall minor issue specific use camera five star anywayhey amazonblink would awesome feature allow integration camera alexa drop talk echo dot saying,5.0 out of 5 stars,"Reviewed in the United States on April 17, 2020"
7,Johnny,easy install took 5 min,love lil camera easy install took 5 min work great highly recommend,5.0 out of 5 stars,"Reviewed in the United States on April 17, 2020"
8,Johnny,vendor change term force monthly storage fee year later buy blink,originally bought eight blink camera liked easy set annoyed intermittent problem connecting wifi le competent support least satisfied something cheap provide level security needed year later longer record store video phone require pay monthly fee storage even though used phone nowblatantly sleazy could care le money spent buying system fact would strip away basic functionality force pay one year one camera store storing phone shocking amazon customer experience want,1.0 out of 5 stars,"Reviewed in the United States on May 23, 2021"
9,A. Reynolds,live view failed error constantly,wanted love ordered 2 price great blink product good review initial setup easy user friendly quick app many state lacking live preview displayed like home monitoring system sure fixed update future really huge deal biggest problem daily get error saying live view failed try click either camera thing resolve unplugging camera plugging back daily kinda defeat purpose home monitoring especially home luck internet connection issue tested numerous time thinking maybe every time display issue also fast connection speed frustrating spend amount money get properly functioning product,1.0 out of 5 stars,"Reviewed in the United States on May 29, 2020"
