Unnamed: 0,User Name,Review Title,Review Text,Star,Review posted time
0,Zichao Fu,useful take care pet dog,bought 360 need check whether dog behaves well im away exciting watch talk seems like im still image quality superb even zoom closer image dog walk around house jump sofa sometimes follow movement automatically thanks motion tracking feature see day long absolutely love camera,5.0 out of 5 stars,"Reviewed in the United States on August 17, 2019"
1,Zichao Fu,baby monitor need especially price,ok let start saying oh goodness camera amazing 360 degree keep watchful eye babe also remote access sweet parent also watch cant around hence quarantinethe price well worth reasonable last monitor 100 died short warranty could sent back pleased productthis product also easy mount weird angle need attach wall screw cam nope attach click cam wonderful,5.0 out of 5 stars,"Reviewed in the United States on April 7, 2020"
2,Shennanigans9,great camera great pricepoint simple setup,nooie 1080p indoor camera ive quite happy give 360degree model try take feature static camera add ability pan tilt camera either manually enable motion tracking easily app wrote review static camera many feature carry including great video quality youve read review seem familiarsetup setup simple using phone tablet running free nooie cam app first need verify phone connected 24ghz access point home using camera simply start nooie cam app select camera button select nooie cam 360 option walk remaining simple step basically assure camera enter password wireless access pointrouter phone currently connected one connecting camera click next qr code appears screen phone hold screen phone front nooie camera lens provides audible tone led light indicator finished reading qr code app inform pairing begin countdown complete app inform pairing completed simpleuse camera added simply select view camera hear audio camera select speaker icon within app able see hear whats going around camera camera also builtin speaker allows press microphone button within app speak useful andor fun depending locate camera example camera living room cat typically spends good part day cat im guessing similar doesnt one place always lay within room instead multiple location shell randomly select 360 degree camera either home work restaurant wherever wifi cellular access pan camera left right range great literally place camera center room app turn left side behind way around front right side behind swiping across screen camera image live whole time pan around see entire room beyond ability tilt camera app well swiping camera image live scan room cat locate touch microphone talk cat chooses whether want respond sometimes ear perk whine hear camera builtin microphone time shell choose walk camera give love choose use motion tracking feature cat anything really move front camera lens camera follow moving option move close edge camera current visibility camera move center moving object within vew continue moving object either stop moving move behind something camera longer see one thing note automatic motion tracking camera pan 360 degree something move camera end pointing different direction next moving object next moving option must move front lens point camera see start tracking depending mount camera use may fine may definitely think placing camera plan enable motion trackingvideo audio recorded either microsd card cloud cloud storage paid service given usage microsd recording fine havent tried cloud storage option microsd recording easily accessed app via scrollable tape across bottom screen select day scroll time would like view time viewing live video recorded video app would like save video device simply press camera icon screen set start point continue watching video play press icon youd like stop video saved device easylike security camera also setup notification based sound andor motion easy configure selecting none low medium high option selecting timeframe would like receive notification note enable disable notification day day one start time one end time selected meaning can not setup notification 8am5pm 10pm midnight day could one dont see problem worth noting depending use casethere additional notable setting first ability enabledisable audio recording havent done much testing id imagine could save space microsd card allowing possibly record video disabled second ability enabledisable small led light camera placed camera visible location home may want disable led avoid distraction last rotate image option need mount camera overhang cabinet etc simple tap button flip image mounting camera upside viewing live recorded video display rightside upcustomer service reached nooies customer service prior purchasing previous camera number question received quick thorough response day shortly sent worked julia great work friendly personable understanding julias customer service great made decision purchase camera complete nobrainer im sure many know question something go wrong really find company made im happy say nooies support great regarding camera question nooie support prior purchasing received great prompt response proved even moreso support great wasnt one time fluke first camerasummary camera work great clear video twoway communication capability added bonus could open use security camera ability automatically track motion well ability turn 360 degree automatically tracking motion andor manually swiping screen coupled low price point 40 make great buy book definitely glad added camera home work well keeping track cat see teenager come go im home,5.0 out of 5 stars,"Reviewed in the United States on May 18, 2019"
3,Carrie,great tool help u keep grandma safe secure home,especially like night vision quality using grannycam dementia mother roam house night,5.0 out of 5 stars,"Reviewed in the United States on November 17, 2019"
4,JDS,dont get spend money elsewhere,buythe good thing work picture greateverything else horrible way set cant type password generates qr code try get camera read discern password problem read wrong half time rookie nearly 30 try get set first timethe setup horrible idk thought barely work could get step 2 3 would say connected timeoutfor reference google fiber nighthawk router multiple device much farther away router never issue thing trouble connecting terrible idk network chip itsgod awfulif toddler unplug ever plug back doesnt reconnect manually redo entire setup process anytime lose power get disconnectedit lag viewing load every single time try view itits unintuitive get,1.0 out of 5 stars,"Reviewed in the United States on July 22, 2019"
5,JDS,great product,awesome camera quality ive bought 2 already one non moving one well awesome infrared great customer service continue use even baby grown,5.0 out of 5 stars,"Reviewed in the United States on October 29, 2019"
6,Travis J Rudd,watched easily hacked,camera followed around room took picture sitting chair watching baby night someone clearly hack camera even attempt correct easily hacked definitely watched beware im sure feedback showing issue,1.0 out of 5 stars,"Reviewed in the United States on July 24, 2020"
7,Sandra Huizar,great camera easy set worth price,camera really worth price compare camera bought great night vision feature high picture quality camera pan easily look around room great indoor camera sound app clear twoway audio work well cat try find every time talk camera lol would highly recommend camera,5.0 out of 5 stars,"Reviewed in the United States on August 25, 2019"
8,Sandra Huizar,great size really easy use good pet,pet love always walk around dont need worry im home great product size good really light weight definitely recommend friend pet,5.0 out of 5 stars,"Reviewed in the United States on August 13, 2019"
9,Melissa Councell,watched,know sound crazy think partner watched bought product couple month ago purchased product set know make startup sound plugged first turn onits working fine week ago randomly made start sound camera already happening lately camera start move direction even partner arent making noise moving ive since unplugged feel uneasy ithonestly great camera otherwise price great havent problem camera besides feel like could watched,1.0 out of 5 stars,"Reviewed in the United States on June 1, 2021"
