,Unnamed: 0,User Name,Review Title,Review Text,Star,Review posted time,Total Description,ReviewDescription_score,ReviewDescription_Sentiment,keywords
0,0,Sock My World,read review,also issue mount spent hr trying secure luck tech savvy thing shouldnt hard simply mount doorbell mount put return frustrated around get new one would take almost week decided take breath dab sat closely looked backing mount put alot effort sliding mount closely look insert go line push really hard sliding doorbell slide lock place shouldnt hard put see people leaving poor review trust though dont give upupdate day 2 far good ive realized reason hard put mount make sturdy doorbell attached ive read review talking easy steal would disagree door bell isnt going anywhere unless someone take hammer picture quality really good picture uploaded review doesnt compare live feed view iphone doorbell come armed disarmed mode youre wanting 100 notification bird flying doorbell disarm leave house go sleep arm found convenientupdate2 month problem whatsoever went bought 128gb flash drive put module recording saved straight make life lot easier accessing stored clip transferring data pc doorbell still nice tight working like charm price cant really go wrong doorbell combo suggest purchasing combo stand alone doorbell unless already module home,4.0 out of 5 stars,"Reviewed in the United States on October 23, 2021",also issue mount spent hr trying secure luck tech savvy thing shouldnt hard simply mount doorbell mount put return frustrated around get new one would take almost week decided take breath dab sat closely looked backing mount put alot effort sliding mount closely look insert go line push really hard sliding doorbell slide lock place shouldnt hard put see people leaving poor review trust though dont give upupdate day 2 far good ive realized reason hard put mount make sturdy doorbell attached ive read review talking easy steal would disagree door bell isnt going anywhere unless someone take hammer picture quality really good picture uploaded review doesnt compare live feed view iphone doorbell come armed disarmed mode youre wanting 100 notification bird flying doorbell disarm leave house go sleep arm found convenientupdate2 month problem whatsoever went bought 128gb flash drive put module recording saved straight make life lot easier accessing stored clip transferring data pc doorbell still nice tight working like charm price cant really go wrong doorbell combo suggest purchasing combo stand alone doorbell unless already module homeread review,0.9960941672325134,NEGATIVE,"['feed', 'problem', 'data', 'review', 'alot', 'sturdy', 'push', 'homeread', 'doorbell', 'day']"
1,1,Sock My World,well worth cost perfect add existing blink customer,medium could loaded like happy existing blink camera user thinking adding door bell existing setup blink camera setup aiming front door first sure really needed door bell however cost glad got one couple thing know1 existing blink customer need second sync module need door bell simple add existing account easy adding additional camera2 planning hardwiring blink doorbell existing doorbell wire still use 2 aa battery power camera make sense figured hardwires would power sure enough calling blink support realized needed put aa battery camera hard wire allow blink doorbell ring doorbell home power camera3 turn motion detection blink door bell turn door bell rung nice feature want catch anyone come door whether ring bell simple turn feature app want save battery life interested door bell ringer turn motion detection off4 two way audio meaning always hear person door also choose speak person choose audio person door hears come across little staticky could phone fact using corner mount5 fish bowl view catch wide view meaning cover front porch6 additional cost blink doorbell camera system unlike door bell system additional cost blink doorbell app free cloud storage free downloading image video free etcif looking set battery wiring existing doorbell system setup breeze take two minute looking hard wire still pretty easy handy man know electricity shock get joke even able hard wire get doorbell glad hope review helped,5.0 out of 5 stars,"Reviewed in the United States on November 4, 2021",medium could loaded like happy existing blink camera user thinking adding door bell existing setup blink camera setup aiming front door first sure really needed door bell however cost glad got one couple thing know1 existing blink customer need second sync module need door bell simple add existing account easy adding additional camera2 planning hardwiring blink doorbell existing doorbell wire still use 2 aa battery power camera make sense figured hardwires would power sure enough calling blink support realized needed put aa battery camera hard wire allow blink doorbell ring doorbell home power camera3 turn motion detection blink door bell turn door bell rung nice feature want catch anyone come door whether ring bell simple turn feature app want save battery life interested door bell ringer turn motion detection off4 two way audio meaning always hear person door also choose speak person choose audio person door hears come across little staticky could phone fact using corner mount5 fish bowl view catch wide view meaning cover front porch6 additional cost blink doorbell camera system unlike door bell system additional cost blink doorbell app free cloud storage free downloading image video free etcif looking set battery wiring existing doorbell system setup breeze take two minute looking hard wire still pretty easy handy man know electricity shock get joke even able hard wire get doorbell glad hope review helpedwell worth cost perfect add existing blink customer,0.9657617211341858,NEGATIVE,"['detection', 'staticky', 'cloud', 'cost', 'speak', 'shock', 'happy', 'easy', 'worth', 'couple']"
2,2,Whose That Guy,potential great yet,year ago excited see blink doorbell announced ce committed multicamera setup became apparent wasnt released purchased ring doorbell subscription plan begrudgingly minute saw preorder instantly grabbed one excited everything one ecosystem anticipating reexcitement year ago waiting period realized someone pointed time listed preorder page need sync2 module save footagerings spare could annoying fast forward today received look beautiful slim profile mounting bracket absolute joke 2 shallow screw thumbail screw lock device could easily ripped wall within 2 second combine amount pressure needed lock device place there doubt mind year changing battery small clipbrackets plate indeed snap image quality way hdr totally blown sun bright daylight sky creating darkness face whoever ring bell surprise kind defeat purpose lastly fact amazon mount cherry top email sent later allowed u order corner mount free charge inside blink app state come couple different mounting plate option prefer blink ecosystem physically doorbell great something rd 3 year definitely dropped ball easiest piece puzzle especially company owns ring excellent mounting package box,2.0 out of 5 stars,"Reviewed in the United States on October 23, 2021",year ago excited see blink doorbell announced ce committed multicamera setup became apparent wasnt released purchased ring doorbell subscription plan begrudgingly minute saw preorder instantly grabbed one excited everything one ecosystem anticipating reexcitement year ago waiting period realized someone pointed time listed preorder page need sync2 module save footagerings spare could annoying fast forward today received look beautiful slim profile mounting bracket absolute joke 2 shallow screw thumbail screw lock device could easily ripped wall within 2 second combine amount pressure needed lock device place there doubt mind year changing battery small clipbrackets plate indeed snap image quality way hdr totally blown sun bright daylight sky creating darkness face whoever ring bell surprise kind defeat purpose lastly fact amazon mount cherry top email sent later allowed u order corner mount free charge inside blink app state come couple different mounting plate option prefer blink ecosystem physically doorbell great something rd 3 year definitely dropped ball easiest piece puzzle especially company owns ring excellent mounting package boxpotential great yet,0.9904438853263856,NEGATIVE,"['beautiful', 'package', 'easiest', 'couple', 'screw', 'save', 'joke', 'blink', 'apparent', 'piece']"
3,3,Whose That Guy,sure negative review,got mounted say instruction detailed tech oriented able figure everything added blink app connected sync 2 module using app instruction fine buy 256gb usb internal storage detected app sync module added battery camera left back app add device doorbell follow setup done took back outside started mount prior mounting leave small space side put cover case left little left mine mounted trim corner use 2 screw thickness one provided also took little clear weather caulk give seal cover contact back longer screw hopefully deter someone stealing neighbor month screw long enough get wood door frame change 10sec delay 15 le pic taken coming going quality looked good cloudy day see night well far like shall see battery adding fact 30 day trial ended local storage took however sub take away ability delete one time ridiculous,4.0 out of 5 stars,"Reviewed in the United States on October 24, 2021",got mounted say instruction detailed tech oriented able figure everything added blink app connected sync 2 module using app instruction fine buy 256gb usb internal storage detected app sync module added battery camera left back app add device doorbell follow setup done took back outside started mount prior mounting leave small space side put cover case left little left mine mounted trim corner use 2 screw thickness one provided also took little clear weather caulk give seal cover contact back longer screw hopefully deter someone stealing neighbor month screw long enough get wood door frame change 10sec delay 15 le pic taken coming going quality looked good cloudy day see night well far like shall see battery adding fact 30 day trial ended local storage took however sub take away ability delete one time ridiculoussure negative review,0.9856590628623962,NEGATIVE,"['sync', 'detailed', 'cloudy', '10sec', 'case', 'ridiculoussure', 'cover', 'review', 'device', 'doorbell']"
4,4,themike,impressive little doorbell,step set requires blink sync completely wireless use camera quality wish box came double stick tape managed set chiming alexa skill installed installed recognizes doorbell price feature true wirelessness recommend,5.0 out of 5 stars,"Reviewed in the United States on October 23, 2021",step set requires blink sync completely wireless use camera quality wish box came double stick tape managed set chiming alexa skill installed installed recognizes doorbell price feature true wirelessness recommendimpressive little doorbell,0.9750186204910278,NEGATIVE,"['sync', 'stick', 'doorbell', 'step', 'double', 'tape', 'skill', 'little', 'recognizes', 'price']"
5,5,dschott,work well,got doorbell cheaper ring one easy set two screw door frame able slide camera work well able link alexa stuff wire worked work well,5.0 out of 5 stars,"Reviewed in the United States on October 24, 2021",got doorbell cheaper ring one easy set two screw door frame able slide camera work well able link alexa stuff wire worked work wellwork well,0.997284173965454,POSITIVE,"['wire', 'frame', 'screw', 'wellwork', 'cheaper', 'slide', 'link', 'camera', 'work', 'able']"
6,6,TechJunkie,impossible mount,product structurally defective dont even attempt buying getting poor quality camera can not mounted surface want buy camera cant mounted anywhere without use duct tape surely,1.0 out of 5 stars,"Reviewed in the United States on October 23, 2021",product structurally defective dont even attempt buying getting poor quality camera can not mounted surface want buy camera cant mounted anywhere without use duct tape surelyimpossible mount,0.9995332956314088,NEGATIVE,"['poor', 'tape', 'surelyimpossible', 'defective', 'product', 'duct', 'camera', 'quality', 'mount', 'surface']"
7,7,Madora,need better security mount,installed seems working fine far hour far got sync module work fine hooked door security mount terrible would take someone time steal set screw model seemed like better option thing taking also 6 retainer take bit time figure push enough pressure set hold recommendation better security mount since one really bad,3.0 out of 5 stars,"Reviewed in the United States on October 23, 2021",installed seems working fine far hour far got sync module work fine hooked door security mount terrible would take someone time steal set screw model seemed like better option thing taking also 6 retainer take bit time figure push enough pressure set hold recommendation better security mount since one really badneed better security mount,0.9943728446960448,NEGATIVE,"['bit', 'sync', 'pressure', 'thing', 'module', 'steal', 'hour', 'time', 'screw', 'security']"
8,8,Favio Hernandez,design defect must fixed putting order,medium could loaded opinion good product reason 1 star simple design defect waiting 1 month release product love blink product something must addressed see one issue waterproof seal defect either thick seal hard compress enough allow put back end onto product sadly fix blink sends new seal opinion simple defect hopefully someone blink see review try correct tech enthusiast love blink product hate see product fail simple flaw took test consumer later change update design fix,1.0 out of 5 stars,"Reviewed in the United States on November 15, 2021",medium could loaded opinion good product reason 1 star simple design defect waiting 1 month release product love blink product something must addressed see one issue waterproof seal defect either thick seal hard compress enough allow put back end onto product sadly fix blink sends new seal opinion simple defect hopefully someone blink see review try correct tech enthusiast love blink product hate see product fail simple flaw took test consumer later change update design fixdesign defect must fixed putting order,0.9976229071617126,NEGATIVE,"['correct', 'love', 'product', 'review', 'star', 'order', 'new', 'enthusiast', 'defect', 'month']"
9,9,DrJohnSpeaks,recommended,medium could loaded ive blink customer since beginning every iteration product excited see offer doorbell excitement wore quickly installed doorbell soon turned disappointment issue doorbell1 short battery life even though connected 24vac doorbell transformer still run battery power burned first set lithium aa le 3 week use2 purchase angled mount 8 separately doorbell button low doorbell camera cutting head tall people3 notification biggest beef right someone ring bell get standard notification phone also set alexa device make voice announcement doorbell rung thats dont get automatic live video doorbell camera app echo show spot etc dont know who suspect hardware limitation blink system blink camera recording cant pull live video feed im doubtful critical feature ever added,2.0 out of 5 stars,"Reviewed in the United States on November 28, 2021",medium could loaded ive blink customer since beginning every iteration product excited see offer doorbell excitement wore quickly installed doorbell soon turned disappointment issue doorbell1 short battery life even though connected 24vac doorbell transformer still run battery power burned first set lithium aa le 3 week use2 purchase angled mount 8 separately doorbell button low doorbell camera cutting head tall people3 notification biggest beef right someone ring bell get standard notification phone also set alexa device make voice announcement doorbell rung thats dont get automatic live video doorbell camera app echo show spot etc dont know who suspect hardware limitation blink system blink camera recording cant pull live video feed im doubtful critical feature ever addedrecommended,0.9984501600265504,NEGATIVE,"['feed', 'people3', 'announcement', 'product', 'tall', '24vac', 'head', 'doorbell', 'power', 'phone']"
