,Unnamed: 0,User Name,Review Title,Review Text,Star,Review posted time,Total Description,ReviewDescription_score,ReviewDescription_Sentiment,keywords
0,0,Zichao Fu,useful take care pet dog,bought 360 need check whether dog behaves well im away exciting watch talk seems like im still image quality superb even zoom closer image dog walk around house jump sofa sometimes follow movement automatically thanks motion tracking feature see day long absolutely love camera,5.0 out of 5 stars,"Reviewed in the United States on August 17, 2019",bought 360 need check whether dog behaves well im away exciting watch talk seems like im still image quality superb even zoom closer image dog walk around house jump sofa sometimes follow movement automatically thanks motion tracking feature see day long absolutely love camerauseful take care pet dog,0.9966076612472534,POSITIVE,"['closer', 'care', 'exciting', 'dog', 'image', 'jump', 'superb', 'quality', 'thanks', 'camerauseful']"
1,1,Zichao Fu,baby monitor need especially price,ok let start saying oh goodness camera amazing 360 degree keep watchful eye babe also remote access sweet parent also watch cant around hence quarantinethe price well worth reasonable last monitor 100 died short warranty could sent back pleased productthis product also easy mount weird angle need attach wall screw cam nope attach click cam wonderful,5.0 out of 5 stars,"Reviewed in the United States on April 7, 2020",ok let start saying oh goodness camera amazing 360 degree keep watchful eye babe also remote access sweet parent also watch cant around hence quarantinethe price well worth reasonable last monitor 100 died short warranty could sent back pleased productthis product also easy mount weird angle need attach wall screw cam nope attach click cam wonderfulbaby monitor need especially price,0.930006980895996,NEGATIVE,"['warranty', 'access', 'weird', 'nope', 'amazing', 'wonderfulbaby', 'eye', 'price', 'cam', 'reasonable']"
2,2,Shennanigans9,great camera great pricepoint simple setup,nooie 1080p indoor camera ive quite happy give 360degree model try take feature static camera add ability pan tilt camera either manually enable motion tracking easily app wrote review static camera many feature carry including great video quality youve read review seem familiarsetup setup simple using phone tablet running free nooie cam app first need verify phone connected 24ghz access point home using camera simply start nooie cam app select camera button select nooie cam 360 option walk remaining simple step basically assure camera enter password wireless access pointrouter phone currently connected one connecting camera click next qr code appears screen phone hold screen phone front nooie camera lens provides audible tone led light indicator finished reading qr code app inform pairing begin countdown complete app inform pairing completed simpleuse camera added simply select view camera hear audio camera select speaker icon within app able see hear whats going around camera camera also builtin speaker allows press microphone button within app speak useful andor fun depending locate camera example camera living room cat typically spends good part day cat im guessing similar doesnt one place always lay within room instead multiple location shell randomly select 360 degree camera either home work restaurant wherever wifi cellular access pan camera left right range great literally place camera center room app turn left side behind way around front right side behind swiping across screen camera image live whole time pan around see entire room beyond ability tilt camera app well swiping camera image live scan room cat locate touch microphone talk cat chooses whether want respond sometimes ear perk whine hear camera builtin microphone time shell choose walk camera give love choose use motion tracking feature cat anything really move front camera lens camera follow moving option move close edge camera current visibility camera move center moving object within vew continue moving object either stop moving move behind something camera longer see one thing note automatic motion tracking camera pan 360 degree something move camera end pointing different direction next moving object next moving option must move front lens point camera see start tracking depending mount camera use may fine may definitely think placing camera plan enable motion trackingvideo audio recorded either microsd card cloud cloud storage paid service given usage microsd recording fine havent tried cloud storage option microsd recording easily accessed app via scrollable tape across bottom screen select day scroll time would like view time viewing live video recorded video app would like save video device simply press camera icon screen set start point continue watching video play press icon youd like stop video saved device easylike security camera also setup notification based sound andor motion easy configure selecting none low medium high option selecting timeframe would like receive notification note enable disable notification day day one start time one end time selected meaning can not setup notification 8am5pm 10pm midnight day could one dont see problem worth noting depending use casethere additional notable setting first ability enabledisable audio recording havent done much testing id imagine could save space microsd card allowing possibly record video disabled second ability enabledisable small led light camera placed camera visible location home may want disable led avoid distraction last rotate image option need mount camera overhang cabinet etc simple tap button flip image mounting camera upside viewing live recorded video display rightside upcustomer service reached nooies customer service prior purchasing previous camera number question received quick thorough response day shortly sent worked julia great work friendly personable understanding julias customer service great made decision purchase camera complete nobrainer im sure many know question something go wrong really find company made im happy say nooies support great regarding camera question nooie support prior purchasing received great prompt response proved even moreso support great wasnt one time fluke first camerasummary camera work great clear video twoway communication capability added bonus could open use security camera ability automatically track motion well ability turn 360 degree automatically tracking motion andor manually swiping screen coupled low price point 40 make great buy book definitely glad added camera home work well keeping track cat see teenager come go im home,5.0 out of 5 stars,"Reviewed in the United States on May 18, 2019",nooie 1080p indoor camera ive quite happy give 360degree model try take feature static camera add ability pan tilt camera either manually enable motion tracking easily app wrote review static camera many feature carry including great video quality youve read review seem familiarsetup setup simple using phone tablet running free nooie cam app first need verify phone connected 24ghz access point home using camera simply start nooie cam app select camera button select nooie cam 360 option walk remaining simple step basically assure camera enter password wireless access pointrouter phone currently connected one connecting camera click next qr code appears screen phone hold screen phone front nooie camera lens provides audible tone led light indicator finished reading qr code app inform pairing begin countdown complete app inform pairing completed simpleuse camera added simply select view camera hear audio camera select speaker icon within app able see hear whats going around camera camera also builtin speaker allows press microphone button within app speak useful andor fun depending locate camera example camera living room cat typically spends good part day cat im guessing similar doesnt one place always lay within room instead multiple location shell randomly select 360 degree camera either home work restaurant wherever wifi cellular access pan camera left right range great literally place camera center room app turn left side behind way around front right side behind swiping across screen camera image live whole time pan around see entire room beyond ability tilt camera app well swiping camera image live scan room cat locate touch microphone talk cat chooses whether want respond sometimes ear perk whine hear camera builtin microphone time shell choose walk camera give love choose use motion tracking feature cat anything really move front camera lens camera follow moving option move close edge camera current visibility camera move center moving object within vew continue moving object either stop moving move behind something camera longer see one thing note automatic motion tracking camera pan 360 degree something move camera end pointing different direction next moving object next moving option must move front lens point camera see start tracking depending mount camera use may fine may definitely think placing camera plan enable motion trackingvideo audio recorded either microsd card cloud cloud storage paid service given usage microsd recording fine havent tried cloud storage option microsd recording easily accessed app via scrollable tape across bottom screen select day scroll time would like view time viewing live video recorded video app would like save video device simply press camera icon screen set start point continue watching video play press icon youd like stop video saved device easylike security camera also setup notification based sound andor motion easy configure selecting none low medium high option selecting timeframe would like receive notification note enable disable notification day day one start time one end time selected meaning can not setup notification 8am5pm 10pm midnight day could one dont see problem worth noting depending use casethere additional notable setting first ability enabledisable audio recording havent done much testing id imagine could save space microsd card allowing possibly record video disabled second ability enabledisable small led light camera placed camera visible location home may want disable led avoid distraction last rotate image option need mount camera overhang cabinet etc simple tap button flip image mounting camera upside viewing live recorded video display rightside upcustomer service reached nooies customer service prior purchasing previous camera number question received quick thorough response day shortly sent worked julia great work friendly personable understanding julias customer service great made decision purchase camera complete nobrainer im sure many know question something go wrong really find company made im happy say nooies support great regarding camera question nooie support prior purchasing received great prompt response proved even moreso support great wasnt one time fluke first camerasummary camera work great clear video twoway communication capability added bonus could open use security camera ability automatically track motion well ability turn 360 degree automatically tracking motion andor manually swiping screen coupled low price point 40 make great buy book definitely glad added camera home work well keeping track cat see teenager come go im homegreat camera great pricepoint simple setup,0.9334152936935424,NEGATIVE,"['right', 'work', 'range', 'trackingvideo', 'indoor', 'company', 'hold', 'password', 'communication', 'access']"
3,3,Carrie,great tool help u keep grandma safe secure home,especially like night vision quality using grannycam dementia mother roam house night,5.0 out of 5 stars,"Reviewed in the United States on November 17, 2019",especially like night vision quality using grannycam dementia mother roam house nightgreat tool help u keep grandma safe secure home,0.9637314677238464,NEGATIVE,"['grannycam', 'house', 'grandma', 'vision', 'nightgreat', 'mother', 'tool', 'dementia', 'secure', 'roam']"
4,4,JDS,dont get spend money elsewhere,buythe good thing work picture greateverything else horrible way set cant type password generates qr code try get camera read discern password problem read wrong half time rookie nearly 30 try get set first timethe setup horrible idk thought barely work could get step 2 3 would say connected timeoutfor reference google fiber nighthawk router multiple device much farther away router never issue thing trouble connecting terrible idk network chip itsgod awfulif toddler unplug ever plug back doesnt reconnect manually redo entire setup process anytime lose power get disconnectedit lag viewing load every single time try view itits unintuitive get,1.0 out of 5 stars,"Reviewed in the United States on July 22, 2019",buythe good thing work picture greateverything else horrible way set cant type password generates qr code try get camera read discern password problem read wrong half time rookie nearly 30 try get set first timethe setup horrible idk thought barely work could get step 2 3 would say connected timeoutfor reference google fiber nighthawk router multiple device much farther away router never issue thing trouble connecting terrible idk network chip itsgod awfulif toddler unplug ever plug back doesnt reconnect manually redo entire setup process anytime lose power get disconnectedit lag viewing load every single time try view itits unintuitive getdont get spend money elsewhere,0.9983181953430176,NEGATIVE,"['work', 'terrible', 'horrible', 'password', 'disconnectedit', 'thing', 'router', 'money', 'multiple', 'lag']"
5,5,JDS,great product,awesome camera quality ive bought 2 already one non moving one well awesome infrared great customer service continue use even baby grown,5.0 out of 5 stars,"Reviewed in the United States on October 29, 2019",awesome camera quality ive bought 2 already one non moving one well awesome infrared great customer service continue use even baby growngreat product,0.9977276921272278,POSITIVE,"['awesome', 'service', 'product', 'non', 'baby', 'customer', 'great', 'growngreat', 'camera', 'quality']"
6,6,Travis J Rudd,watched easily hacked,camera followed around room took picture sitting chair watching baby night someone clearly hack camera even attempt correct easily hacked definitely watched beware im sure feedback showing issue,1.0 out of 5 stars,"Reviewed in the United States on July 24, 2020",camera followed around room took picture sitting chair watching baby night someone clearly hack camera even attempt correct easily hacked definitely watched beware im sure feedback showing issuewatched easily hacked,0.996736705303192,NEGATIVE,"['room', 'feedback', 'camera', 'baby', 'beware', 'chair', 'sure', 'night', 'correct', 'showing']"
7,7,Sandra Huizar,great camera easy set worth price,camera really worth price compare camera bought great night vision feature high picture quality camera pan easily look around room great indoor camera sound app clear twoway audio work well cat try find every time talk camera lol would highly recommend camera,5.0 out of 5 stars,"Reviewed in the United States on August 25, 2019",camera really worth price compare camera bought great night vision feature high picture quality camera pan easily look around room great indoor camera sound app clear twoway audio work well cat try find every time talk camera lol would highly recommend cameragreat camera easy set worth price,0.990432858467102,POSITIVE,"['work', 'indoor', 'vision', 'cameragreat', 'quality', 'high', 'lol', 'picture', 'clear', 'time']"
8,8,Sandra Huizar,great size really easy use good pet,pet love always walk around dont need worry im home great product size good really light weight definitely recommend friend pet,5.0 out of 5 stars,"Reviewed in the United States on August 13, 2019",pet love always walk around dont need worry im home great product size good really light weight definitely recommend friend petgreat size really easy use good pet,0.997399091720581,POSITIVE,"['size', 'love', 'use', 'friend', 'petgreat', 'good', 'light', 'pet', 'worry', 'product']"
9,9,Melissa Councell,watched,know sound crazy think partner watched bought product couple month ago purchased product set know make startup sound plugged first turn onits working fine week ago randomly made start sound camera already happening lately camera start move direction even partner arent making noise moving ive since unplugged feel uneasy ithonestly great camera otherwise price great havent problem camera besides feel like could watched,1.0 out of 5 stars,"Reviewed in the United States on June 1, 2021",know sound crazy think partner watched bought product couple month ago purchased product set know make startup sound plugged first turn onits working fine week ago randomly made start sound camera already happening lately camera start move direction even partner arent making noise moving ive since unplugged feel uneasy ithonestly great camera otherwise price great havent problem camera besides feel like could watchedwatched,0.9623313546180724,NEGATIVE,"['week', 'noise', 'fine', 'partner', 'start', 'think', 'problem', 'direction', 'turn', 'uneasy']"
10,10,Yilin,smart powerful camera,like camera much look simple smart powerful record high quality videosphotos nooie app even poor light condition also hear sound camera make voice heard camera remotely move direction angle controlled simply tapping dragging phone screen highly recommended,5.0 out of 5 stars,"Reviewed in the United States on May 13, 2019",like camera much look simple smart powerful record high quality videosphotos nooie app even poor light condition also hear sound camera make voice heard camera remotely move direction angle controlled simply tapping dragging phone screen highly recommendedsmart powerful camera,0.9942501783370972,POSITIVE,"['record', 'phone', 'voice', 'poor', 'nooie', 'screen', 'quality', 'high', 'recommendedsmart', 'condition']"
11,11,Yilin,absolutely amazing product,first bit skeptic quality camera would wasnt familiar brand nooie amazing deal purchase price assumed good true however camera exceeded original expectation also created new standard expect future camera recording device purchasethe camera offer amazing video quality matter video resolution using added night vision feature amazing bonus even clarity screen image downloadable app go along device work wonder nice amount feature make camera experience go beyond camera allowthe camera video recording still picture taking availability voice activation motion detection motion activation two way communication cloud storage sd card storage sharing capability lot feature make fall love camera well available app definitely give camera available app 10 10 love much im going purchase 4,5.0 out of 5 stars,"Reviewed in the United States on November 9, 2020",first bit skeptic quality camera would wasnt familiar brand nooie amazing deal purchase price assumed good true however camera exceeded original expectation also created new standard expect future camera recording device purchasethe camera offer amazing video quality matter video resolution using added night vision feature amazing bonus even clarity screen image downloadable app go along device work wonder nice amount feature make camera experience go beyond camera allowthe camera video recording still picture taking availability voice activation motion detection motion activation two way communication cloud storage sd card storage sharing capability lot feature make fall love camera well available app definitely give camera available app 10 10 love much im going purchase 4absolutely amazing product,0.9970301389694214,POSITIVE,"['deal', 'work', 'card', 'vision', 'recording', 'voice', 'image', 'availability', 'available', 'purchase']"
12,12,Connor Hua,love camera,prosgreat pricequality pictureeasy set upselfmonitoringtwoway audiolots feature appconslimited one range time per day monitoringthe manual specify type microsd card compatibleyour phonemonitoring device must internet connection set upi love camera easy set use already nooie 720p adding camera app easy first nooie need download app create account using camera installed use camera scan qr code appear app already nooie add camera app pressing sign adding camera appthe quality picture good follow technology worked perfectly first connected 15 second lag camera viewing app suspect internetrelated issue disappeared quicklyi forgot order microsd card camera want totally selfmonitored need compatible microsd manual specify type microsd card compatible first one ordered 720p work sandisk card ordered reading comment amazon worked great manual simple succinct easy followif watching live want take still picture video camera seeing realtime option app also monthly monitoring service available purchase reasonable cost company nooie partner withthe camera arrives well packaged recyclable cardboard material removing camera lower compartment power connector cable well hardware mount ceiling wall camera stand using table shelfyour phonemonitoring device must internet connection set set monitor anywhere internet issue could set office wifi system treat login unique private network security reason way plug camera direct setup option many printer example unable use officefor affordable quality product meet need find favoring camera simplisafe,5.0 out of 5 stars,"Reviewed in the United States on June 17, 2019",prosgreat pricequality pictureeasy set upselfmonitoringtwoway audiolots feature appconslimited one range time per day monitoringthe manual specify type microsd card compatibleyour phonemonitoring device must internet connection set upi love camera easy set use already nooie 720p adding camera app easy first nooie need download app create account using camera installed use camera scan qr code appear app already nooie add camera app pressing sign adding camera appthe quality picture good follow technology worked perfectly first connected 15 second lag camera viewing app suspect internetrelated issue disappeared quicklyi forgot order microsd card camera want totally selfmonitored need compatible microsd manual specify type microsd card compatible first one ordered 720p work sandisk card ordered reading comment amazon worked great manual simple succinct easy followif watching live want take still picture video camera seeing realtime option app also monthly monitoring service available purchase reasonable cost company nooie partner withthe camera arrives well packaged recyclable cardboard material removing camera lower compartment power connector cable well hardware mount ceiling wall camera stand using table shelfyour phonemonitoring device must internet connection set set monitor anywhere internet issue could set office wifi system treat login unique private network security reason way plug camera direct setup option many printer example unable use officefor affordable quality product meet need find favoring camera simplisafelove camera,0.99078631401062,NEGATIVE,"['account', 'range', 'work', 'company', 'suspect', 'compatibleyour', 'issue', 'nooie', 'unable', 'power']"
